Batch ID,Batch Name,Day,S1,S2,S3,S4,S5,S6,S7,S8,S9
17,btech-ME-3-A,Tue,[T] Heat Transfer (MJK),"[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)","[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)","[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)",--- LUNCH ---,"[L:133] Machine Drawing II (NM,PbM)","[L:133] Machine Drawing II (NM,PbM)","[L:133] Machine Drawing II (NM,PbM)",
17,btech-ME-3-A,Wed,[T] Solid Mechanics (MJK),[T] Heat Transfer (MJK),[T] Effe. Technical Communication (CD),[T] Kinematics & TOM (HbR),--- LUNCH ---,,,,
17,btech-ME-3-A,Thu,[T] Kinematics & TOM (HbR),[T] Effe. Technical Communication (CD),[T] Solid Mechanics (MJK),[T] Essence of Indian Knowledge Tradition (AS),--- LUNCH ---,,,,
17,btech-ME-3-A,Fri,[T] Essence of Indian Knowledge Tradition (AS),[T] Kinematics & TOM (HbR),[T] Heat Transfer (MJK),[T] Solid Mechanics (MJK),--- LUNCH ---,,,,

18,btech-ME-3-B,Mon,[T] Effe. Technical Communication (CD),[T] Solid Mechanics (MJK),[T] Kinematics & TOM (HbR),[T] Heat Transfer (MJK),--- LUNCH ---,"[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)","[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)","[L:131] Mech. Eng. Lab(Thermal) (MJK,SbK)",
18,btech-ME-3-B,Tue,[T] Heat Transfer (MJK),,,,--- LUNCH ---,,,,
18,btech-ME-3-B,Wed,[T] Solid Mechanics (MJK),[T] Heat Transfer (MJK),[T] Effe. Technical Communication (CD),[T] Kinematics & TOM (HbR),--- LUNCH ---,"[L:133] Machine Drawing II (NM,PbM)","[L:133] Machine Drawing II (NM,PbM)","[L:133] Machine Drawing II (NM,PbM)",
18,btech-ME-3-B,Thu,[T] Kinematics & TOM (HbR),[T] Effe. Technical Communication (CD),[T] Solid Mechanics (MJK),[T] Essence of Indian Knowledge Tradition (AS),--- LUNCH ---,,,,
18,btech-ME-3-B,Fri,[T] Essence of Indian Knowledge Tradition (AS),[T] Kinematics & TOM (HbR),[T] Heat Transfer (MJK),[T] Solid Mechanics (MJK),--- LUNCH ---,,,,

19,btech-CEE-3-A,Mon,[T] Economics (PS),[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),[T] Design of RC Structures B (SS),--- LUNCH ---,[T] Unit Operation II (SC),[T] Engineering geology-B (HR),,
19,btech-CEE-3-A,Tue,[T] Design of RC Structures A (SB),[T] Concrete Technology A (SS),[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),--- LUNCH ---,[L:129] Quantity Surveying (KP),[L:129] Quantity Surveying (KP),[L:129] Quantity Surveying (KP),
19,btech-CEE-3-A,Wed,[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),[T] Design of RC Structures B (SS),[T] Design of RC Structures A (SB),--- LUNCH ---,[L:144] Engineering Geology Lab (SB),[L:144] Engineering Geology Lab (SB),[L:144] Engineering Geology Lab (SB),
19,btech-CEE-3-A,Thu,[T] Concrete Technology A (SS),[T] Unit Operation II (SC),[T] Design of RC Structures A (SB),[T] Engineering geology-B (HR),--- LUNCH ---,[L:126] Concrete Laboratory (SS),[L:126] Concrete Laboratory (SS),[L:126] Concrete Laboratory (SS),
19,btech-CEE-3-A,Fri,[T] Unit Operation II (SC),[T] Design of RC Structures B (SS),[T] Engineering geology-B (HR),[T] Concrete Technology A (SS),--- LUNCH ---,[L:127] Soil Mechanics Lab II (HR),[L:127] Soil Mechanics Lab II (HR),[L:127] Soil Mechanics Lab II (HR),

20,btech-CEE-3-B,Mon,[T] Economics (PS),[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),[T] Design of RC Structures B (SS),--- LUNCH ---,[T] Unit Operation II (SC),[T] Engineering geology-B (HR),,
20,btech-CEE-3-B,Tue,[T] Design of RC Structures A (SB),[T] Concrete Technology A (SS),[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),--- LUNCH ---,[L:144] Engineering Geology Lab (SB),[L:144] Engineering Geology Lab (SB),[L:144] Engineering Geology Lab (SB),
20,btech-CEE-3-B,Wed,[T] Engineering geology-A (SB),[T] Concrete Technology B (HR),[T] Design of RC Structures B (SS),[T] Design of RC Structures A (SB),--- LUNCH ---,[L:126] Concrete Laboratory (SS),[L:126] Concrete Laboratory (SS),[L:126] Concrete Laboratory (SS),
20,btech-CEE-3-B,Thu,[T] Concrete Technology A (SS),[T] Unit Operation II (SC),[T] Design of RC Structures A (SB),[T] Engineering geology-B (HR),--- LUNCH ---,[L:127] Soil Mechanics Lab II (HR),[L:127] Soil Mechanics Lab II (HR),[L:127] Soil Mechanics Lab II (HR),
20,btech-CEE-3-B,Fri,[T] Unit Operation II (SC),[T] Design of RC Structures B (SS),[T] Engineering geology-B (HR),[T] Concrete Technology A (SS),--- LUNCH ---,[L:129] Quantity Surveying (KP),[L:129] Quantity Surveying (KP),[L:129] Quantity Surveying (KP),

21,btech-FET-3-A,Mon,[T] Food Processing Technology II (SKD),[T] Food Processing Technology I (MAM),[T] Fermentation Technology (AnS),[T] Food Process Engineering (KKD),--- LUNCH ---,[L:141] Food Analysis and Quality Control Lab (SKD),[L:141] Food Analysis and Quality Control Lab (SKD),[L:141] Food Analysis and Quality Control Lab (SKD),[L:141] Food Analysis and Quality Control Lab (SKD)
21,btech-FET-3-A,Tue,[T] Economics (PS),[T] Renewable Energy (ABD),[T] Food Processing Technology I (MAM),[T] Food Processing Technology II (SKD),--- LUNCH ---,,,,
21,btech-FET-3-A,Wed,[T] Food Process Engineering (KKD),[T] Economics (PS),[T] Constitution (AS),[T] Fermentation Technology (AnS),--- LUNCH ---,[T] Renewable Energy (ABD),,,
21,btech-FET-3-A,Thu,[T] Fermentation Technology (AnS),[T] Constitution (AS),[T] Food Process Engineering (KKD),[T] Food Processing Technology I (MAM),--- LUNCH ---,[L:143] Food Enginnering Lab (SC),[L:143] Food Enginnering Lab (SC),[L:143] Food Enginnering Lab (SC),[L:143] Food Enginnering Lab (SC)
21,btech-FET-3-A,Fri,[T] Food Processing Technology I (MAM),[T] Food Processing Technology II (SKD),[T] Renewable Energy (ABD),[T] Constitution (AS),--- LUNCH ---,,,,

22,btech-EE-3-A,Mon,,[T] Electrical Machine II (GG),[T] DSA (SuB),,--- LUNCH ---,"[L:117] Electrical Machine II Lab (SnC,AK)","[L:117] Electrical Machine II Lab (SnC,AK)",,
22,btech-EE-3-A,Tue,[T] Renewable & NC Energy (SA),[T] Power System I (SrC),[T] Power Electronics (SnC),[T] Control System (RRK),--- LUNCH ---,"[L:119] Power Electronics Lab (RRK,AK)","[L:119] Power Electronics Lab (RRK,AK)",,
22,btech-EE-3-A,Wed,[T] Control System (RRK),[T] Power Electronics (SnC),[T] Renewable & NC Energy (SA),[T] Power System I (SrC),--- LUNCH ---,"[L:118] Control System Lab (GG,MA)","[L:118] Control System Lab (GG,MA)",,
22,btech-EE-3-A,Thu,[T] Power System I (SrC),[T] DSA (SuB),[T] Control System (RRK),[T] Electrical Machine II (GG),--- LUNCH ---,,,,
